Ranking,Country,Score,Political Context,Economic Context,Legal Framework,Safety Score,Sociocultural Context,Continent,Year
154,Azerbaijan,39.4,37.66,23.76,48.25,28.48,58.86,Europe,2023
155,Russia,38.82,36.36,34.84,44.61,27.0,51.29,Asia,2023
156,Afghanistan,38.27,44.65,43.88,42.54,16.96,43.33,Asia,2023
157,Pakistan,37.99,39.57,31.92,53.26,17.75,47.43,Asia,2023
158,Kuwait,37.87,32.73,19.39,36.84,73.41,27.0,Asia,2023
159,Venezuela,37.78,33.7,31.73,44.74,31.22,47.5,South America,2023
160,Nicaragua,37.09,37.45,38.78,31.75,27.68,49.8,North America,2023
161,Laos,36.64,36.06,20.92,31.58,50.64,44.0,Asia,2023
162,Bangladesh,36.63,42.12,32.48,44.15,15.88,48.5,Asia,2023
163,Oman,35.99,32.73,23.98,18.42,59.82,45.0,Asia,2023
164,Djibouti,35.75,32.73,16.12,37.72,54.56,37.6,Africa,2023
165,Honduras,34.61,33.33,31.63,36.84,40.22,31.0,North America,2023
166,Saudi Arabia,33.71,37.27,33.67,22.37,38.75,36.5,Asia,2023
167,Bahrain,30.97,35.15,21.43,28.95,29.65,39.67,Asia,2023
168,Egypt,30.23,30.91,23.47,34.87,17.64,44.25,Africa,2023
169,Yemen,29.14,33.03,27.55,38.6,11.54,35.0,Asia,2023
171,Syria,28.94,33.51,27.62,33.58,13.39,36.57,Asia,2023
172,Iraq,28.59,34.14,20.07,29.82,18.27,40.67,Asia,2023
173,Cuba,27.32,27.27,39.8,15.79,26.24,27.5,North America,2023
174,Vietnam,26.11,32.32,18.71,27.49,17.37,34.67,Asia,2023
175,China,25.17,27.45,26.02,23.25,15.84,33.3,Asia,2023
177,Turkmenistan,25.01,25.0,11.73,29.61,35.69,23.0,Asia,2023
178,Iran,23.22,34.14,21.32,26.71,13.61,23.78,Asia,2023
179,Eritrea,19.62,22.22,19.73,25.15,11.36,19.67,Africa,2023
180,North Korea,13.92,22.42,0.0,22.81,12.38,12.0,Asia,2023
,Puerto Rico,No Data,,,,,,,
,United States of America,No Data,,,,,,,
,Macedonia,No Data,,,,,,,
,Central African Republic,No Data,,,,,,,
,Antarctica,No Data,,,,,,,
,Republic of Serbia,No Data,,,,,,,
,Falkland Islands,No Data,,,,,,,
,United Kingdom,No Data,,,,,,,
,Northern Cyprus,No Data,,,,,,,
,Bosnia and Herzegovina,No Data,,,,,,,
,Republic of the Congo,No Data,,,,,,,
,Kosovo,No Data,,,,,,,
,Solomon Islands,No Data,,,,,,,
,Vanuatu,No Data,,,,,,,
,French Guiana,No Data,,,,,,,
,Somaliland,No Data,,,,,,,
,French Southern and Antarctic Lands,No Data,,,,,,,
,Guinea Bissau,No Data,,,,,,,
,The Bahamas,No Data,,,,,,,
,Western Sahara,No Data,,,,,,,
,Myanmar,No Data,,,,,,,
,New Caledonia,No Data,,,,,,,
,Democratic Republic of the Congo,No Data,,,,,,,
,Morocco,No Data,,,,,,,
,Gambia,No Data,,,,,,,
,Bermuda,No Data,,,,,,,
,Czech Republic,No Data,,,,,,,
,Greenland,No Data,,,,,,,
,West Bank,No Data,,,,,,,
,United Republic of Tanzania,No Data,,,,,,,
,Swaziland,No Data,,,,,,,
,United Arab Emirates,No Data,,,,,,,
,Burkina Faso,No Data,,,,,,,
,East Timor,No Data,,,,,,,
